PARAMETER,YEAR,LAT,LON, IRRAD [kW-hr/m^2/day]
ALLSKY_SFC_SW_DWN,1987,19.75,-160.75,5.57
ALLSKY_SFC_SW_DWN,1987,20.25,-154.75,5.66
ALLSKY_SFC_SW_DWN,1987,20.25,-155.25,5.59
ALLSKY_SFC_SW_DWN,1987,20.25,-155.75,5.59
ALLSKY_SFC_SW_DWN,1987,20.25,-156.25,5.98
ALLSKY_SFC_SW_DWN,1987,20.25,-156.75,5.98
ALLSKY_SFC_SW_DWN,1987,20.25,-157.25,5.91
ALLSKY_SFC_SW_DWN,1987,20.25,-157.75,5.91
ALLSKY_SFC_SW_DWN,1987,20.25,-158.25,5.81
ALLSKY_SFC_SW_DWN,1987,20.25,-158.75,5.81
ALLSKY_SFC_SW_DWN,1987,20.25,-159.25,5.73
ALLSKY_SFC_SW_DWN,1987,20.25,-159.75,5.73
ALLSKY_SFC_SW_DWN,1987,20.25,-160.25,5.68
ALLSKY_SFC_SW_DWN,1987,20.25,-160.75,5.68
ALLSKY_SFC_SW_DWN,1987,20.75,-154.75,5.66
ALLSKY_SFC_SW_DWN,1987,20.75,-155.25,5.59
ALLSKY_SFC_SW_DWN,1987,20.75,-155.75,5.59
ALLSKY_SFC_SW_DWN,1987,20.75,-156.25,5.98
ALLSKY_SFC_SW_DWN,1987,20.75,-156.75,5.98
ALLSKY_SFC_SW_DWN,1987,20.75,-157.25,5.91
ALLSKY_SFC_SW_DWN,1987,20.75,-157.75,5.91
ALLSKY_SFC_SW_DWN,1987,20.75,-158.25,5.81
ALLSKY_SFC_SW_DWN,1987,20.75,-158.75,5.81
ALLSKY_SFC_SW_DWN,1987,20.75,-159.25,5.73
ALLSKY_SFC_SW_DWN,1987,20.75,-159.75,5.73
ALLSKY_SFC_SW_DWN,1987,20.75,-160.25,5.68
ALLSKY_SFC_SW_DWN,1987,20.75,-160.75,5.68
ALLSKY_SFC_SW_DWN,1987,21.25,-154.75,5.56
ALLSKY_SFC_SW_DWN,1987,21.25,-155.25,5.56
ALLSKY_SFC_SW_DWN,1987,21.25,-155.75,5.56
ALLSKY_SFC_SW_DWN,1987,21.25,-156.25,5.57
ALLSKY_SFC_SW_DWN,1987,21.25,-156.75,5.57
ALLSKY_SFC_SW_DWN,1987,21.25,-157.25,5.52
ALLSKY_SFC_SW_DWN,1987,21.25,-157.75,5.52
ALLSKY_SFC_SW_DWN,1987,21.25,-158.25,5.78
ALLSKY_SFC_SW_DWN,1987,21.25,-158.75,5.78
ALLSKY_SFC_SW_DWN,1987,21.25,-159.25,5.74
ALLSKY_SFC_SW_DWN,1987,21.25,-159.75,5.74
ALLSKY_SFC_SW_DWN,1987,21.25,-160.25,5.74
